AppName,citrixShortcut
Accessionresultentry,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Accessionresultentry/7DssAlHfGG6LI8HdEBtqcrHVWLYPIIv0Gt71vCL4vaFBQkxGSElSX0FjY2Vzc2lvbnJlc3VsdGVudHJ5
Appbar,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Appbar/CxJFcTpLlZ77mJ83GRwfWdiMiglhl5BVyxZ0XhRsswRBQkxGSElSX0FwcGJhcg%3D%3D
CernerApps,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_CernerApps/amCs%2BEMPlKX4%2F3wO5Gar4D0%2FXoSyZA7L0%2BrGbwV98KJBQkxGSElSX0Nlcm5lckFwcHM%3D
Csbatchchargeentry,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Csbatchchargeentry/IYZuv2RPxOY76QF6cZwT%2BPLMkdN0Z7BvkwVv5BlKythBQkxGSElSX0NzYmF0Y2hjaGFyZ2VlbnRyeQ%3D%3D
Cschargeviewer,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Cschargeviewer/VsQ2eVN1cWAWYiX164i48ZaDG6zJPiWG5%2BT3O4FWwEpBQkxGSElSX0NzY2hhcmdldmlld2Vy
Deptorderentry,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Deptorderentry/qm4tvGzI0RuYbYvGc%2BbAq04sy88yLx1%2Bt6GqrZP8zqZBQkxGSElSX0RlcHRvcmRlcmVudHJ5
Desktoplauncher,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Desktoplauncher/EJwC2mgKFsngakuqCga1%2FzpX1br4dKa1PaPCRPRoRnlBQkxGSElSX0Rlc2t0b3BsYXVuY2hlcg%3D%3D
FirstNet,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_FirstNet/7Y7W8hIX6qTa9mvEE9uF4JmgxVKIceuzEm0yLulhGbZBQkxGSElSX0ZpcnN0TmV0
Himphysiciandeficiencyanalysis,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Himphysiciandeficiencyanalysis/g6xfZw34MsWpg0ypOyv1KOAZagwdi1wE0u9m2gDpGOBBQkxGSElSX0hpbXBoeXNpY2lhbmRlZmljaWVuY3lhbmFseXNpcw%3D%3D
PMLaunch,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_PMLaunch/o8OK0Ud%2B38MkKGxLr0MsjR4smUPEvA3raE2j%2F1mvNPhBQkxGSElSX1BNTGF1bmNo
PMOffice,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_PMOffice/TUl9ZkqI5CqzhTUzHUPs2NXbTfzfnWSKw00n50EMMmxBQkxGSElSX1BNT2ZmaWNl
PhaMedMgr,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_PhaMedMgr/T5GFF0q%2Ftx50Fot9TjMq0gqZN%2BKb87VdfWdsZhNmKZhBQkxGSElSX1BoYU1lZE1ncg%3D%3D
Phamedmgrretail,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Phamedmgrretail/OqCehxD%2BMm6x8V1pTCIB0oOP1tItXdxDlssBavLt089BQkxGSElSX1BoYW1lZG1ncnJldGFpbA%3D%3D
Powerchart,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Powerchart/pF57arefNxEEc%2FhDsMKoNPOWTCnA11BBccFrJGWLtIZBQkxGSElSX1Bvd2VyY2hhcnQ%3D
Radexammgmt,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Radexammgmt/M%2FQKUubCtoPDn4J8NLh9i64lsfek%2B2CIgr4PD%2BgKK5xBQkxGSElSX1JhZGV4YW1tZ210
Reportrequestmaint,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Reportrequestmaint/LiL8XzHofLK6WUqFI%2FtveORCQH8vXXrs84fY2OKa3tdBQkxGSElSX1JlcG9ydHJlcXVlc3RtYWludA%3D%3D
RevenueCycle,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_RevenueCycle/Ehl7N3bKBS52LOxbDOqvaAH33XoJdRwXOGBwlQAzJq5BQkxGSElSX1JldmVudWVDeWNsZQ%3D%3D
SchedulingApptBook,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_SchedulingApptBook/xgG54Rk6zmvpcMnGXep3c9EO6z2dER9%2FUloD4R5YWo5BQkxGSElSX1NjaGVkdWxpbmdBcHB0Qm9vaw%3D%3D
Specimenlogin,http://10.191.200.35/Citrix/AblCertDedCtx_storeWeb/#/launch/ABLFHIR_Specimenlogin/N589K19SVjkUXfaIHQgSUf4tKBROZDjh766cazWq63FBQkxGSElSX1NwZWNpbWVubG9naW4%3D
