"name","value","value1"
"external_service_id_3865","${GetExternalServicesByIds_233_0.instanceJson.external_services[0].external_service_id}","2960618474"
"field_3867","${GetExternalServicesByIds_233_0.instanceJson.external_services[0].external_service_parameters[0].field}","971727761"
"sch_lock_id_63675","${PostSchedulingLocks_836_0.instanceJson.reppostlocks[0].sch_lock_id}","444125062"
"end_effective_dt_tm_43","${codesdk_get_code_14_0.instanceJson.end_effective_dt_tm}","292278994-08-17T07:12:55.807Z"
"alias_1776","${RetrievePatientsByIds_124_0.instanceJson.patients[0].aliases[1].alias}","343900083"
"external_service_id_3857","${GetExternalServicesByIds_229_0.instanceJson.external_services[0].external_service_id}","2960556119"
"field_3859","${GetExternalServicesByIds_229_0.instanceJson.external_services[0].external_service_parameters[0].field}","971729993"
"healthplanid_2235","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].subscriberhealthplaninformation[0].healthplanid}","3611010"
"encounterid_17842","${AdmitEncounter_472_0.instanceJson.encounterid}","143886847"
"scheduleid_21999","${GetPatientTrackingApptListByCriteria_526_0.instanceJson.patienttrackinglist[0].appointmentinformation.scheduleid}","87014594"
"scheventid_21998","${GetPatientTrackingApptListByCriteria_526_0.instanceJson.patienttrackinglist[0].appointmentinformation.scheventid}","60606498"
"begin_dt_tm_11256","${GetAppointmentAvailability_413_0.instanceJson.result_items[0].suggestions[0].participants[0].participant_date_time.begin_dt_tm}","2026-04-16T13:00:00Z"
"dt_tm_value_9000","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[14].dt_tm_value}","2024-07-15T05:00:00Z"
"appt_type_id_6175","${GetAppointmentTypesBySynonymMnemonic_263_0.instanceJson.appointment_synonyms[0].appointment_type.appt_type_id}","381456571"
"dt_tm_value_9004","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[17].dt_tm_value}","1993-03-14T00:00:00Z"
"external_service_id_25018","${GetExternalServicesByIds_787_0.instanceJson.external_services[0].external_service_id}","2654227795"
"order_format_id_6291","${OrderFormatsByCriteria_272_0.instanceJson.order_formats[0].order_format_id}","367665893"
"field_3851","${GetExternalServicesByIds_225_0.instanceJson.external_services[0].external_service_parameters[0].field}","971727747"
"external_service_id_3849","${GetExternalServicesByIds_225_0.instanceJson.external_services[0].external_service_id}","2960512913"
"sch_event_id_17915","${ConfirmAppointments_481_0.instanceJson.sch_events[0].sch_event_id}","60606498"
"oeformatid_6288","${OrdersByAppointmentTypeRetrieval_270_0.instanceJson.orderslist[0].oeformatid}","367665893"
"sequence_number_6676","${SequenceNumbersGenerator_276_0.instanceJson.sequences[0].sequence_number}","6999278963"
"external_service_id_3841","${GetExternalServicesByIds_221_0.instanceJson.external_services[0].external_service_id}","2960444929"
"field_3843","${GetExternalServicesByIds_221_0.instanceJson.external_services[0].external_service_parameters[0].field}","971731911"
"end_dt_tm_11257","${GetAppointmentAvailability_413_0.instanceJson.result_items[0].suggestions[0].participants[0].participant_date_time.end_dt_tm}","2026-04-16T13:30:00Z"
"personid_17647","${RetrievePatientsByIds_449_0.instanceJson.patients[0].relatedpersons[0].personid}","49513043"
"path_952","${GetDocument_23_0.instanceJson.document.path}","/revenuecycle/ares"
