"File","ScriptName","RequestNumber","Product"
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_get_bill_srv.prg","","",""
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_get_bo_srv.prg","","",""
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_get_stm_srv.prg","pft_get_stm_srv.prg","4050128","Financial Management Systems"
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_save_bo_srv.prg","pft_save_bo_srv.prg","tba","Financial Management Systems"
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_save_stm_srv.prg","pft_save_stm_srv.prg","4050127","Financial Management Systems"
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_upt_bill_srv.prg","","",""
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_upt_claim_srv.prg","pft_upt_claim_srv.prg","tba","Financial Management Systems"
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_upt_stm_srv.prg","pft_upt_stm_srv.prg","4050142","Financial Management Systems"
"accounting\pft_srvbilling\src\main\ccl\pft billing server\pft_write_bill_srv.prg","","",""
"accounting\pft_srvbilling\src\main\ccl\pft_bo_get_bt_conds\pft_bo_get_bt_conds.prg","PFT_BO_GET_BT_CONDS","","PROFIT FINANCIAL & MANAGEMENT SYSTEMS"
"accounting\pft_srvtrans\src\main\ccl\pft_get_logical_domain_for_usr\pft_get_logical_domain_for_usr.prg","","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_enqueue_tasks\wtp_enqueue_tasks.prg","","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_get_queue_item\wtp_get_queue_item.prg","wtp_get_queue_item","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_handle_task\wtp_handle_task.prg","","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_load_tasks\wtp_load_tasks.prg","","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_process_queue_item\wtp_process_queue_item.prg","wtp_process_queue_item","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_workflow_task_modify\wtp_workflow_task_modify.prg","wtp_workflow_task_modify","",""
"accounting\wtp_srvtaskproc\src\main\ccl\wtp_workflow_task_save\wtp_workflow_task_save.prg","wtp_workflow_task_save","",""
"alias_pool\alias_pool_transaction\src\main\ccl\bed_chk_dup_alias_identifier\bed_chk_dup_alias_identifier.prg","bed_chk_dup_alias_identifier","4411863","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_chk_dup_alias_pool_mnem\bed_chk_dup_alias_pool_mnem.prg","bed_chk_dup_alias_pool_mnem","4410572","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_chk_dup_alias_pool_name\bed_chk_dup_alias_pool_name.prg","bed_chk_dup_alias_pool_name","4410571","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_ens_age_ranges\bed_ens_age_ranges.prg","bed_ens_age_ranges","4420582","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_ens_alias_by_contr_system\bed_ens_alias_by_contr_system.prg","bed_ens_alias_by_contr_system","4420554","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_ens_alias_pool\bed_ens_alias_pool.prg","bed_ens_alias_pool","4410611","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_ens_alias_pool_details\bed_ens_alias_pool_details.prg","bed_ens_alias_pool_details","4410578","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_ens_alias_pool_ppr_selectn\bed_ens_alias_pool_ppr_selectn.prg","bed_ens_alias_pool_ppr_selectn","4411891","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_ens_alias_pool_type_reltn\bed_ens_alias_pool_type_reltn.prg","bed_ens_alias_pool_type_reltn","4411890","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_by_cds\bed_get_alias_pool_by_cds.prg","bed_get_alias_pool_by_cds","4410509","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_by_disp\bed_get_alias_pool_by_disp.prg","bed_get_alias_pool_by_disp","4410573","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_by_org\bed_get_alias_pool_by_org.prg","bed_get_alias_pool_by_org","4410574","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_by_type\bed_get_alias_pool_by_type.prg","bed_get_alias_pool_by_type","4410511","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_details\bed_get_alias_pool_details.prg","bed_get_alias_pool_details","4410577","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_ppr_selectn\bed_get_alias_pool_ppr_selectn.prg","bed_get_alias_pool_ppr_selectn","4411896","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_types\bed_get_alias_pool_types.prg","bed_get_alias_pool_types","4410570","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_type_cd\bed_get_alias_pool_type_cd.prg","bed_get_alias_pool_type_cd","4411892","Bedrock"
