SCP_Number,ServerName,Service,Binding
100,ORM Format Server,orm_srvfmt,
101,ORM Order Write Synch,orm_ordsrv_s,
102,DCP Task Server,dcp_srvtask,
103,DCP Task Query Server,dcp_srvquerytasks,
104,ORM Order Write Asynch,orm_ordsrv_a,
105,ORM Explode Cont Order,orm_ecosrv_a,
106,DCP Output,dcp_srvoutput,
107,ORM Order Write Synch For FSI,orm_ordsrv_s,orm.fsiorderwritesynch
108,ORM Explode Cont Order 001,orm_ecosrv_a,orm.explodecontorder001
109,OAR Order Proposal Server Synch,oar_srvorderproposal_s,
110,RadNet Async Script,cpm_srvscripta,CPMScriptAsyncRAD
111,OAR Order Process Server Asynch,oar_srvorderprocess_a,
112,OAR Order Process Server Synch,oar_srvorderprocess_s,
114,CPM Script (DCP Task Interface),,CpmScriptDcpTask
115,DCP Pathway Server,dcp_srvpathway,
116,DCP Write Outcome Async,dcp_srvwriteoutcome,
117,DCP Query Outcome,dcp_srvqueryoutcome,
118,OAR Admin Process Server Synch,oar_srvadminprocess_s,
119,DCP Query Plans,dcp_srvqueryplans,
120,DCP Task Order Server Asynch,dcp_srvtaskord,
121,DCP Task Admin Server Synch,dcp_srvtaskadmin_s,
126,DMS Async Server,dms_srvasync,
127,System Print Server (Node Specific),,
128,Print Services Cache Manager,sys_srvprintcache,
129,System Print Server,,
130,PathNet Resource Routing Server,path_srvres,
131,SCS Netting Server,scs_srvnetting,
132,SCS Collections Server,scs_srvcoltn,
133,PathNet Result Order Posting Server,path_srvprop,
134,PathNet Sync Result Order Posting Server,path_srvpropsync,
140,Pathnet - AP Case Retrieval Server,aps_srvcaseretrieval,
141,Pathnet - AP Automatic Diagnostic Coder,aps_srvautocoder,
142,Pathnet - AP Interactive Diagnostic Code,aps_srvintercoder,
144,Pathnet - AP Coding Cache Manager,aps_srvcachemanager,
150,Discern Expert Server (EKS_ASYNCH_01),eks_srvexpert,eks_asynch_01
151,Discern Expert Server (EKS_ASYNCH_02),eks_srvexpert,eks_asynch_02
152,Discern Expert Server (EKS_ASYNCH_03),eks_srvexpert,eks_asynch_03
153,Discern Expert Server (EKS_ASYNCH_04),eks_srvexpert,eks_asynch_04
170,Discern ODBC,dbc_srvodbc,
175,Discern Expert Server (CPM.EKS),eks_srvexpert_sync,CPM.EKS
176,Discern Event Server,eks_srvevent,
178,CPM Script (Custom),-offer -factor 1,cpmscript_cust
179,CPM Script Batch (Custom),-offer -factor 1,CpmScriptBatch_Cust
1900,FSI ESO Server Load #16,fsi_srveso,listener16
1901,FSI ESO Server Load #17,fsi_srveso,listener17
1902,FSI ESO Server Load #18,fsi_srveso,listener18
1903,FSI ESO Server Load #19,fsi_srveso,listener19
1904,FSI ESO Server Load #20,fsi_srveso,listener20
1905,FSI ESO Server Load #21,fsi_srveso,listener21
1906,FSI ESO Server Load #22,fsi_srveso,listener22
1907,FSI ESO Server Load #23,fsi_srveso,listener23
1908,FSI ESO Server Load #24,fsi_srveso,listener24
1909,FSI ESO Server Load #25,fsi_srveso,listener25
1910,FSI ESO Server Load #26,fsi_srveso,listener26
1911,FSI ESO Server Load #27,fsi_srveso,listener27
1912,FSI ESO Server Load #28,fsi_srveso,listener28
1913,FSI ESO Server Load #29,fsi_srveso,listener29
1914,FSI ESO Server Load #30,fsi_srveso,listener30
20,Message Agent,,
200,Clinical Event Server,ocf_event_server,
2000,CPOE Conversation,CPOEConversation OrdersStaging,
2001,Clinical Quality,clinicalquality clinicalqualityasync,
2003,Ambulatory Patient Timeline,ambulatory_patient_timeline,
2004,Pharmacy Prescription Order Management,PrescriptionOrderQuery SuspendedOrder,
2005,Health Concerns,healthconcerns,
2006,CPOE Electronic Prescribing,CPOEPriorAuthorization priorauth ElectronicPrescribing CPOEErxConfig,
2007,EPrescription Mgmt,erxrequisitionmanager erxstatusmanager erxstore erxdeny,
2008,HIM Chart Completion Agent,-agent DeficientOrdersAgent,
2010,Patient Notices,criticalpatientinformation insuredeligibleservices immunizationaudit,
2011,Care Management Agent,-agent AvoidableDaysAgent SendCCDsAgent,
2012,General Configuration Management,Configuration,
2013,Data Extraction Async,ExtractionAsync,
2014,Data Extraction Async Channel2,ExtractionAsyncChannel2,
2016,Auto Save,AutoSave,
2017,Dynamic Documentation Ancillary,DDAutoSave NoteType DDCDA,
2018,Pharmacy Prescription Process,PharmacyPrescriptionProcess PharmacySurescriptsPrescriber PharmacyElectronicPrescriptionsView,
2019,Pharmacy Prescription Message,PharmacyPrescriptionMessage,
2021,Consumer Notification,ConsumerNotification,
2022,Workflow Task Processing Broker,WTPGetBunchesSync,
2023,Pharmacy Claim Query,pharmacyclaimquery,
2024,Data Extraction,Extraction,
2025,Integrated Case PickList,PickList,
2026,Cardiology Results,ResultsRetrieval,
2027,Barcode Processing,scanbarcode,
2028,EPrescription Hub Proxy,erxconfig pharmacyretrieval formularybenefits,
2029,CPOE Orders and Plans,cpoeorderinfo,
2030,Feature Toggle Management,feature_toggle,
2031,Data Record Retention,DataRecordRetentionQueue,
2032,Pharmacy Batch Prescription Management,PharmacyBatchPrescriptionManagerAsync,
2033,Financial Clearance Transactions Agent,-agent MedicalEligibilityAgent DeferredRuleProcessingAgent,
2034,Prescription Refill Request Management,RefillRequest,
2035,Pharmacy Prescription Dispense,PrescriptionDispenseQuery,
2036,Patient Outcomes View Management,Patient_Outcomes_View,
2037,Document Imaging Agents,-agent DocumentPurgeAgent,
