RequestNumber,RequestName,RequestType,ServiceBinding
4411471,bed_ens_rln_alias,RR,CPMScript
600851,dcp_get_careteam_prsnls,RR,CPMScript
4130085,EEM_GET_REVIEW_BY_PARENT,RR,cpmscript
900247,mm_upd_pur_number_seed,RR,CpmScript
1202316,OEOCF23MFNCMA,RR,
4050161,pft_get_acct_nbr_def,RR,CPMScript
4051107,pft_get_hold_info_deliv_sys,RR,CPMScript
4050163,pft_upt_acct_nbr_assign,RR,CPMScript
1037521,PL_ADD_ORG_GRP,RR,CPMScript
1037522,PL_GET_ALT_SEL_CAT,RR,CPMScript
1037520,PL_GET_ORG_GRP,RR,CPMScript
6202,aa_get_prod_domains,RR,CPMScript
4050557,ab_add_person_script,RR,CPMScript
4050556,ab_add_reltn_script,RR,CPMScript
4050551,AB_GET_BOOKS_SCRIPT,RR,CPMScript
4050552,AB_GET_person_SCRIPT,RR,CPMScript
4050553,AB_GET_RELTN_SCRIPT,RR,CPMScript
4050554,ab_upt_reltn_script,RR,CPMScript
1037557,abn_add_rule,RR,CPMScript
1037538,abn_check_diag,RR,CPMScript
1030328,abn_get_cpt,RR,CPMScript
1037501,abn_get_existing_diags_for_cpt,RR,CPMScript
1030350,abn_get_orc_for_cpt,RR,CPMScript
1037559,abn_rpt_rules,RR,CPMScript
1037535,abn_upd_rules,RR,CPMScriptBatch
1052598,acc_check_accession,RR,CPMScript
265074,acc_get_setup,RR,CPMScript
967505,accept_phone_refill,RPC,messaging
113038,AcceptReferral,RPC,Referral
1120234,ACCESSHIM_DUMMY_REQ,RR,CpmScript
265057,accession_assignment,RR,CPMScript
265059,accession_generate,RR,CPMScript
265063,accession_manual,RR,CPMScript
265064,accession_modify,RR,CPMScript
265058,accession_validate,RR,CPMScript
900443,ACCT_PAYABLE_DETAIL,RR,
1202006,AcknowledgeBloodReceipts,RPC,ExternalService
1218255,AcknowledgeExports,RPC,ExternalService
111515,acm_check_ld_enabled,RR,cpmscript
115464,ACM_CHGW_PDS_EXCEPTION,RR,cpmscript
115463,ACM_COMPLETE_PDS_EXCEPTION,RR,cpmscript
115477,acm_get_age_format_policy,RR,cpmscript
115456,ACM_GET_CODE_CDF_EXT,RR,cpm.scriptcache
115476,acm_get_dm_info_by_criteria,RR,cpmscript
115503,acm_get_last_cmb_activity,RR,cpmscript
111516,acm_get_ld_user_by_org,RR,cpmscript
111514,acm_get_logical_domains,RR,cpmscript
115472,ACM_GET_ORG_CONFIG,RR,CPMScript
115444,ACM_GET_PAT_LISTS_DEFINITION,RR,CPMScript
115465,ACM_GET_PDS_EXCEP_BY_PERSON,RR,cpmscript
115507,ACM_GET_PDS_EXCEPTION_BY_ID,RR,cpmscript
115468,acm_get_proc_by_encntr,RR,cpmscript
115470,acm_get_proc_by_proc_id,RR,cpmscript
115471,ACM_GET_ROLE_PROFILE_BY_IDENT,RR,CPMScript
115502,ACM_GET_SERVICE_RESOURCE_BY_ID,RR,cpmscript
115469,acm_mark_proc_as_reviewed,RR,cpmscript
115475,acm_notify_profit_for_reg_mod,RR,cpmscript
111513,acm_post_process_transaction,RDM,CPMScriptAsync
115467,acm_procedure,RR,cpmscript
115501,ACM_PROVIDER,RR,cpmscript
115505,ACM_PRSNL_GROUP,RR,cpmscript
111512,acm_reconcile_pds_exception,RR,CPMScript
115500,ACM_REGISTRATION,RR,cpmscript
114704,ACM_SEND_OUTBOUND,RR,cpmscript
115478,ACM_UDF_ALIAS_CHECK_DIGIT,RR,cpmscript
115506,ACM_UPDATE_GMP,RR,cpmscript
115508,ACM_UPDATE_GMP_GATEWAY,RR,cpmscript
3200064,act_add_entry,RR,CPMScript
3200061,act_add_space,RR,CPMScript
3200096,act_clean_expired_entries,RR,CPMScript
3200095,act_clean_expired_spaces,RR,CPMScript
3200066,act_del_entry,RR,CPMScript
3200062,act_del_space,RR,CPMScript
3200073,act_del_space_by_id,RR,CPMScript
3200028,ACT_ENS_ALLERGY,RR,CpmScript
3200029,act_ens_problem,RR,CPMScript
3200070,act_get_blobs_by_space_id,RR,CPMScript
3200016,act_get_cat_children_by_id,RR,CPMScript
3200019,act_get_categories,RR,CPMScript
3200143,act_get_ce_history,RR,cpmscript
3200144,act_get_ce_model_type,RR,cpmscript
3200022,ACT_GET_CODE,RR,cpmscript
3200023,ACT_GET_CODES,RR,cpmscript
3200083,act_get_diagnosis,RR,CPMScript
3200030,act_get_diagnosis_by_encntrs,RR,CPMScript
3200031,act_get_dm_info,RR,CPMScript
3200067,act_get_entry_id_by_key,RR,CPMScript
3200068,act_get_entry_ids_by_space_id,RR,CPMScript
3200069,act_get_entry_keys_by_space_id,RR,CPMScript
3200065,act_get_entry_value_by_name,RR,CPMScript
3200075,act_get_expiration_by_entry_id,RR,CPMScript
3200024,ACT_GET_EXPLORER_MENU_ITEMS,RR,CPMScript
3200074,act_get_matching_space_names,RR,CPMScript
3200032,act_get_nomenclature_nka,RR,CPMScript
3200013,act_get_ord_sentence,RR,CPMScript
3200014,act_get_orderable,RR,CPMScript
1051000,act_get_orders,RR,CPMScript
1051001,act_get_orders_by_id,RR,CPMScript
3200063,act_get_space_id_by_name,RR,CPMScript
3200060,act_get_space_names,RR,CPMScript
3200097,act_get_space_seq,RR,CPMScript
3200018,act_get_synonyms_by_catalog,RR,CPMScript
3200027,act_get_synonyms_by_cki,RR,CPMScript
3200015,act_get_synonyms_by_id,RR,CPMScript
3200017,act_get_therapeutic_categories,RR,CPMScript
3200071,act_upd_entry_lease,RR,CPMScript
3200072,act_upd_space_lease,RR,CPMScript
200383,ADD_AUTH_ERROR,RR,CPMScript
967645,add_favorites,RR,CPMScript
901081,add_item_to_location,RPC,inventoryitem
901083,add_item_to_organization,RPC,inventoryitem
967620,add_messaging_notify,RR,CPMScript
967530,add_msg_favorites,RPC,messaging
967503,add_notification,RPC,messaging
967653,add_pool_org_rules,RR,CPMScript
967560,add_proxies,RPC,messaging
967731,Add_Reminders,RPC,messaging
967521,add_routing_rule_assoc,RPC,messaging
967568,add_rxaudit,RPC,messagingEprescribe
967610,add_rxmsg_audit,RR,CPMScript
4180047,AddAppeal,RPC,CareManagement
659607,AddAppointmentOptionConfigurations,RPC,Scheduling
659617,AddAppointmentReminderBuilds,RPC,SchAutoMsg
659633,AddAppointmentRequestEncounters,RPC,Appointment
659973,AddAppointmentRequests,RPC,Scheduling
4180022,AddAvoidableDayPeriod,RPC,CareManagement
4277003,AddBatchDocument,RPC,docimaging_access
4099358,AddBillingEntityGroup,RPC,Financials
4180350,AddCareManagementNote,RPC,CareManagement
1215229,AddCdaXDocEntry,RPC,ExternalDocument
4180006,AddClinicalReview,RPC,CareManagement
4180009,AddClinicalReviewAddendum,RPC,CareManagement
3202573,AddConsent,RPC,patientconsentsync
3202577,AddConsentsAsync,RDM,patientconsentasync
4099430,AddContFlowModel,RPC,Financials
130103,AddConversation,RPC,Registration
130180,AddConversationGroup,RPC,Registration
4180043,AddDeniedDayPeriod,RPC,CareManagement
1202101,AddDigitalSignatureLogs,RPC,sieprescribemaintain
4180309,AddDocReviewFollowupMessageCenter,RPC,CareManagement
4180300,AddDocumentReview,RPC,CareManagement
130151,AddEncounter,RPC,Registration
680255,AddERxInboundOrderDetails,RPC,ml_eprescribe_inbound_sidecar
680228,AddErxStatus,RPC,erxstatusmanager
4277005,AddExistingBatchDocument,RPC,docimaging_access
130157,AddExternalService,RPC,Registration
966552,AddFactDefinition,RPC,HealthExpert
966704,AddFactsToSessions,RPC,HealthExpert
967715,AddFilterBasedSubscriptions,RPC,Subscription
655234,AddFutureEncounter,RPC,Scheduling
4180072,AddInterQualAccount,RPC,CareManagement
4180054,AddInterQualAccountOrgRelation,RPC,CareManagement
477745,AddMediaGroupMembers,RPC,MediaObjectManagement
1218010,addMetadata,RPC,ExternalDocumentMetadata
659947,AddMobileProfile,RPC,Scheduling
659964,AddMultiResourceBlock,RPC,Scheduling
395101,AddNewADMAlert,RPC,AutomatedDispensingMachineUtility
395104,AddNewBusADMAlert,RPC,AutomatedDispensingMachineUtility
4277011,AddNonClinicalDocument,RPC,docimaging_access
4099450,AddOutOfOfficeEventAndDistributions,RPC,Financials
115571,AddPatientCase,RPC,PatientCase
4180021,AddPayerCommunication,RPC,CareManagement
870223,AddPicklistForProcedure,RPC,PickList
4180080,AddPostAcuteDefaultTemplate,RPC,CareManagement
4180040,AddPostAcuteOrgService,RPC,CareManagement
601424,AddPrecomponentOrders,RPC,PowerPlansMaintain
139000,AddProfile,RPC,Configuration
1202020,AddProviderLocation_6,RPC,ErxService
3202574,AddProvision,RPC,patientconsentsync
4180312,AddRCMTransaction,RPC,CareManagement
4180202,AddReadmissionAssessment,RPC,CareManagement
4099372,AddRefund,RPC,Financials
130199,AddRegistrationAction,RPC,Registration
659906,AddResourceBlock,RPC,Scheduling
659554,AddResourceComments,RPC,SchRes
130119,AddRule,RPC,Registration
659982,AddSchClinicPersonnelRelations,RPC,Scheduling
659988,AddSchClinicProperties,RPC,Scheduling
659981,AddSchClinicRelations,RPC,Scheduling
659980,AddSchClinics,RPC,Scheduling
659992,AddSchedulingActivities,RPC,Scheduling
130176,AddSearchSession,RPC,Registration
130177,AddSearchSessionByTaskNumber,RPC,Registration
130178,AddSearchSessionOutcome,RPC,Registration
4180307,AddSecondaryReviewMessageCenter,RPC,CareManagement
139001,AddSubsystem,RPC,Configuration
870253,AddSupplyCabinetItems,RPC,PickList
4180601,AddThirdPartyAccount,RPC,CareManagement
4180400,AddTLCAccount,RPC,CareManagement
130192,AddTransientField,RPC,Registration
3202600,Adjudicate,RPC,adjudicator
395137,AdmGetRetractableOrders,RPC,AutomatedDispensingMachineUtility
3070035,Admin_CreateOrUpdateActiveAccounts,RPC,ncodeproxy
3070034,Admin_GetActiveAccounts,RPC,ncodeproxy
3070032,Admin_GetRoles,RPC,ncodeproxy
3070033,Admin_GetSpecialties,RPC,ncodeproxy
3070036,Admin_InactivateAccounts,RPC,ncodeproxy
115551,AdmitEncounter,RPC,Encounter
115565,AdmitEncounterFSI,RPC,EnsureEncounter
395146,AdmRequestMedications,RPC,AutomatedDispensingMachineUtility
395138,AdmSaveOrderDispenses,RPC,AutomatedDispensingMachineUtility
951061,AFC.CacheEvent,RDM,AFC.Server
951321,AFC.SyncProcessEvent,RR,AFC.Sync
951049,afc_add_adjustment,RR,CPMScript
951235,afc_add_adv_price,RR,CPMScriptBatch
951416,afc_add_bill_item_modifier_his,RR,CPMScript
951015,AFC_ADD_CHRG_EVNT_API,RR,CpmScript
951017,AFC_ADD_CHRG_EVNT_API_RX,RR,CpmScript
951231,afc_add_chrg_pnt,RR,CPMScript
951048,afc_add_credit,RR,CPMScriptBatch
951148,afc_add_credit_wrapper,RR,CPMScriptBatch
951801,afc_add_csops_summ_front,RR,CPMScript
951039,afc_add_gen_addon,RR,CPMScript
951101,afc_add_mrp_from_procure,RR,CPMScript
951381,afc_add_partial_credit,RR,CPMScript
951234,afc_add_price,RR,CPMScriptBatch
951236,afc_add_price_preview,RR,CPMScriptBatch
951417,afc_add_price_sched_item_hist,RR,CPMScript
951010,AFC_ADD_REFERENCE_API,RR,CPMScript
951405,AFC_ADD_TIER_GROUP,RR,CPMScript
951330,afc_add_upt_site_prefs,RR,CPMScript
951320,afc_apply_partial_credit,RR,CPMScript
951255,afc_batch_charge_release,RR,CPMScriptBatch
951257,afc_batch_held_release,RR,CPMScriptBatch
951091,afc_bill_item_search,RR,CPMScriptBatch
952402,afc_billcode_org_for_user,RR,CPMScriptBatch
951270,afc_charge_find,RR,CPMScript
951352,afc_chk_profit_install,RR,CPMScript
951054,afc_collection_setup,RR,CPMScriptBatch
951396,afc_cs_add_code,RR,CPMScript
951155,afc_ct_ens_matrix,RR,CPMScript
951157,afc_ct_ens_rule,RR,CPMScript
951156,afc_ct_ens_ruleset,RR,CPMScript
951160,afc_ct_execute,RR,CPMScriptBatch
951152,afc_ct_get_nomen,RR,CPMScript
951151,afc_ct_get_rules,RR,CPMScript
951150,afc_ct_get_rulesets,RR,CPMScript
951161,afc_ct_undo,RR,CPMScriptBatch
951263,afc_del_batch_code,RR,CpmScript
951314,afc_del_item_interval_psi,RR,CPMScript
951102,afc_del_mrp_from_bill_item,RR,CPMScript
951073,AFC_DRAWN_DUMMY,RR,CPMScript
951400,afc_encntr_mods,RR,CPMScriptAsync
951347,afc_ens_bce_event_log,RR,CPMScript
951004,afc_ens_bill_item,RR,CPMScript
951322,afc_ens_bill_item_groups,RR,CPMScript
951053,AFC_ENS_BILL_ITEM_INTERNAL,RR,CpmScript
951008,afc_ens_bill_item_modifier,RR,CPMScript
951034,afc_ens_bill_org_payor,RR,CPMScript
951065,afc_ens_bill_org_payor_old,RR,CPMScript
951315,afc_ens_charge,RR,CPMScript
951502,afc_ens_charge_desc_master,RR,CPMScript
951376,afc_ens_charge_event_act,RR,CPMScript
951013,AFC_ENS_CHARGE_EVENT_MOD,RR,CpmScript
951074,afc_ens_charge_mod,RR,CpmScript
951262,afc_ens_client_batch,RR,CpmScript
951041,afc_ens_cost_adj,RR,CPMScript
951038,afc_ens_cost_adj_flex,RR,CPMScript
951036,afc_ens_cost_adj_sched,RR,CPMScript
951349,afc_ens_cs_org_reltn,RR,CPMScript
951370,afc_ens_fav_folder_cat,RR,CPMScript
951371,afc_ens_fav_folder_list,RR,CPMScript
951085,AFC_ENS_INTERFACE_FILE,RR,CPMScript
951068,afc_ens_interval,RR,CPMScript
951050,afc_ens_price_sched,RR,CPMScript
951019,afc_ens_price_sched_adj,RR,CPMScript
951070,afc_ens_price_sched_interval,RR,CPMScript
951007,afc_ens_price_sched_item,RR,CPMScript
952400,afc_ens_ratestructure,RR,CPMScriptBatch
951028,afc_ens_release_charge,RR,CPMScriptBatch
951026,afc_ens_tier_matrix,RR,CPMScript
951390,afc_export_tier_matrix,RR,CPMScript
957011,afc_gen_batch_entry_seq,RR,CPMScript
951031,afc_get_add_on,RR,CPMScript
951011,afc_get_alpha_response,RR,CPMScript
951001,afc_get_applications,RR,CPMScript
951348,afc_get_batch_entry_info,RR,CPMScript
957010,afc_get_bce_event_by_id,RR,CPMScript
951346,afc_get_bce_event_log,RR,CPMScript
951029,afc_get_bi_dependencies,RR,CPMScript
951368,afc_get_bill_code_dates,RR,CPMScript
951366,afc_get_bill_code_history,RR,CPMScript
951212,afc_get_bill_code_scheds,RR,CPMScript
951042,afc_get_bill_code_schedules,RR,CPMScript
951009,afc_get_bill_codes,RR,CPMScript
951210,afc_get_bill_item_batch,RR,CPMScript
957004,afc_get_bill_item_by_bar_code,RR,CPMScript
957005,afc_get_bill_item_by_bill_code,RR,CPMScript
