TABLE_NAME                               TABLESPACE_NAME                        
---------------------------------------- ---------------                        
ABN_CROSS_REFERENCE                      D_R_M001                               
ABN_RULE                                 D_R_M001                               
ABO_TESTING                              D_A_M001                               
ABSTRACTING                              D_A_M001                               
ABSTRACTING1585DRR                       D_A_M001                               
ABSTRACT_DATA                            D_A_M001                               
ABSTRACT_DATA1674DRR                     D_A_M001                               
ABSTRACT_FIELD_DEF                       D_R_M001                               
ABSTRACT_FIELD_FLEX                      D_R_M001                               
ABSTRACT_IN                              D_A_M001                               
ABST_CODING_RELTN                        D_A_M001                               
ABST_CODING_RELTN2744DRR                 D_A_M001                               
ABST_FORM_SECURITY                       D_R_M001                               
ACCEPT_FORMAT_FLEXING                    D_R_M001                               
ACCEPT_FORMAT_FLEX_HIST                  D_R_M001                               
ACCEPT_QUAR_PROD_R                       D_R_M001                               
ACCEPT_QUAR_REASON                       D_R_M001                               
ACCESSION                                D_A_M001                               
ACCESSION0001DRR                         D_A_M001                               
ACCESSION_ASSIGNMENT                     D_A_M001                               
ACCESSION_ASSIGN_POOL                    D_R_M001                               
ACCESSION_ASSIGN_XREF                    D_R_M001                               
ACCESSION_CLASS                          D_R_M001                               
ACCESSION_EXTERNAL_SMRY                  D_A_M001                               
ACCESSION_ORDER_R                        D_A_M001                               
ACCESSION_ORDER_R1350DRR                 D_A_M001                               
ACCESSION_SETUP                          D_R_M001                               
ACCESS_CONTROL_POLICY                    D_R_M001                               
ACCOUNT                                  D_R_M001                               
ACCOUNT3155DRR                           D_R_M001                               
ACCRED_SYSTEM                            D_R_M001                               
ACCT_ACCT_RELTN                          D_A_M001                               
ACCT_BALANCE                             D_A_M001                               
ACCT_BALANCE5722DRR                      D_A_M001                               
ACCT_GROUP_RELTN                         D_R_M001                               
ACCT_PRSNL_GROUP_R                       D_R_M001                               
ACCT_TEMPLATE                            D_R_M001                               
ACCT_TEMPL_HIST                          D_R_M001                               
ACCT_TYPE_GL_ALIAS_RELTN                 D_R_M001                               
ACQUIREMENT_INFO                         D_R_M001                               
ACR                                      D_R_M001                               
ACTIVITY_DATA_RELT9088DRR                D_A_M001                               
ACTIVITY_DATA_RELTN                      D_A_M001                               
ACTIVITY_LOG                             D_A_M001                               
ACTIVITY_PRIVILEGE_DEFINITION            D_R_M001                               
ACTIVITY_PRIVILEGE_RELTN                 D_R_M001                               
ACT_CARE_CAT                             D_A_M001                               
ACT_PW_COMP                              D_A_M001                               
ACT_PW_COMP5095DRR                       D_A_M001                               
ACT_PW_COMP_FOCUS_5401DRR                D_A_M001                               
ACT_PW_COMP_FOCUS_R                      D_A_M001                               
ACT_PW_COMP_G                            D_A_M001                               
ACT_PW_COMP_G7586DRR                     D_A_M001                               
ACT_PW_COMP_G_ACTIC275DRR                D_A_M008                               
ACT_PW_COMP_G_ACTION                     D_A_M008                               
ACT_PW_COMP_R                            D_A_M001                               
ACT_PW_COMP_R7587DRR                     D_A_M001                               
ACT_PW_FOCUS                             D_A_M001                               
ACT_PW_FOCUS_ACTION                      D_A_M001                               
ACT_TIME_FRAME                           D_A_M001                               
ACT_TIME_FRAME3219DRR                    D_A_M001                               
ACUTE_CARE_AUDIT_I3503DRR                D_A_M006                               
ACUTE_CARE_AUDIT_INFO                    D_A_M006                               
AC_CLASS_DEF                             D_R_M009                               
AC_CLASS_HE_RULE                         D_R_M009                               
AC_CLASS_PERSON_RE4123DRR                D_A_M008                               
AC_CLASS_PERSON_RELTN                    D_A_M008                               
ADDITIONAL_AMOUNT                        D_A_M001                               
ADDITIONAL_AMOUNT0620DRR                 D_A_M001                               
ADDITIONAL_AMOUNT_DEF                    D_R_M001                               
ADDRESS                                  D_A_M001                               
ADDRESS1504DRR                           D_A_M001                               
ADDRESS_HIST                             D_A_M001                               
ADDRESS_HIST7719DRR                      D_A_M001                               
ADM_PERSON_ALIAS4974DRR                  D_A_M009                               
ADM_REQUESTB306DRR                       D_A_M007                               
ADRESSE_UNIB294DRR                       D_A_M007                               
ADVANCED_DELTA                           D_R_M001                               
AGS_BENEFIT_LEVEL_DATA                   D_A_M001                               
AGS_CLAIM_DATA                           D_A_M001                               
AGS_CLAIM_DETAIL_DATA                    D_A_M001                               
AGS_IMMUN_DATA                           D_A_M001                               
AGS_JOB                                  D_A_M001                               
AGS_LOG                                  D_A_M001                               
AGS_MEDS_DATA                            D_A_M001                               
AGS_MRG_DATA                             D_A_M001                               
AGS_ORG_DATA                             D_A_M001                               
AGS_PERSON_DATA                          D_A_M001                               
AGS_PLAN_DATA                            D_A_M001                               
AGS_PRSNL_DATA                           D_A_M001                               
AGS_RESULT_DATA                          D_A_M001                               
AGS_TASK                                 D_A_M001                               
ALERT_AUDIT_ALLERG2357DRR                D_A_M001                               
ALERT_AUDIT_ALLERG2358DRR                D_A_M001                               
ALERT_AUDIT_ALLERGY                      D_A_M001                               
ALERT_AUDIT_ALLERGY_DOM                  D_A_M001                               
ALERT_AUDIT_DRUG                         D_A_M001                               
ALERT_AUDIT_DRUG2359DRR                  D_A_M001                               
ALERT_AUDIT_DRUG_D2360DRR                D_A_M001                               
ALERT_AUDIT_DRUG_DOM                     D_A_M001                               
ALERT_AUDIT_DUP                          D_A_M001                               
ALERT_AUDIT_DUP2362DRR                   D_A_M001                               
ALERT_AUDIT_DUP_CAT_CAUSE                D_A_M001                               
ALERT_AUDIT_DUP_DO2364DRR                D_A_M001                               
ALERT_AUDIT_DUP_DOM                      D_A_M001                               
ALERT_AUDIT_FOOD                         D_A_M001                               
ALERT_AUDIT_FOOD2366DRR                  D_A_M001                               
ALERT_AUDIT_FOOD_D2367DRR                D_A_M001                               
ALERT_AUDIT_FOOD_DOM                     D_A_M001                               
ALERT_AUDIT_TRANSA2368DRR                D_A_M001                               
ALERT_AUDIT_TRANSACTION                  D_A_M001                               
ALIAS_POOL                               D_R_M001                               
ALIAS_POOL_ENCNTR_TYPE                   D_R_M001                               
ALIAS_POOL_PPR_SELECTION                 D_R_M010                               
ALIAS_POOL_SEQ                           D_R_M001                               
ALIAS_POOL_TYPE_RELTN                    D_R_M010                               
ALIQUOTTED_PRIMER_KIT                    D_R_M001                               
ALIQUOT_INFO_QUALIFIERS                  D_R_M001                               
ALLELE_PATTERN_MAT0945DRR                D_A_M001                               
ALLELE_PATTERN_MATCH                     D_A_M001                               
ALLELE_SPECIFICITY_XREF                  D_A_M001                               
ALLERGY                                  D_A_M001                               
ALLERGY0854DRR                           D_A_M001                               
ALLERGY_COMMENT                          D_A_M001                               
