"Original Value","Param Name","Param Value","Transaction Aliases"
60605184,sch_event_id_18370,"${ConfirmAppointments_646_0.instanceJson.sch_events[0].sch_event_id}","(transName='GetAppointmentOrders_655_0', messageId=655256, aliases='event_id')"
5067849,list_role_id_9700,"${GetDynamicRoles_417_0.instanceJson.resource_lists[26].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
5067848,list_role_id_9686,"${GetDynamicRoles_417_0.instanceJson.resource_lists[26].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
60605183,sch_event_id_18339,"${ConfirmAppointments_625_0.instanceJson.sch_events[0].sch_event_id}","(transName='GetAppointmentOrders_655_0', messageId=655256, aliases='event_id')"
4926075,ruleid_2120,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[10].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
60605182,sch_event_id_17575,"${ConfirmAppointments_485_0.instanceJson.sch_events[0].sch_event_id}","(transName='ORM_OrderWriteSynch_488_0', messageId=560201, aliases='scheventid');(transName='GetAppointmentOrders_503_0', messageId=655256, aliases='event_id')"
267009438,booking_id_11358,"${sch_check_times_433_0.instanceJson.qual[0].booking_id}","(transName='ConfirmAppointments_485_0', messageId=659965, aliases='booking_id')"
29314098,personnel_id_10743,"${GetDynamicRoles_417_0.instanceJson.resource_lists[79].roles[0].resources[21].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
267009439,booking_id_11364,"${sch_check_times_433_0.instanceJson.qual[1].booking_id}","(transName='ConfirmAppointments_485_0', messageId=659965, aliases='booking_id')"
19369522,personnel_id_10527,"${GetDynamicRoles_417_0.instanceJson.resource_lists[68].roles[0].resources[13].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
8351281,personnel_id_9624,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[7].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
"757GA ZAN PC Same Day",mnemonic_9850,"${GetDynamicRoles_417_0.instanceJson.resource_lists[36].roles[0].resources[0].slots[1].mnemonic}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_mnemonic')"
19369523,personnel_id_9201,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[15].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
