Transaction,Field,Count
AdmitEncounter_477_0,encounterid,1
AdmitEncounter_621_0,encounterid,1
AdmitEncounter_642_0,encounterid,1
codesdk_get_code_14_0,end_effective_dt_tm,1
ConfirmAppointments_485_0,sch_event_id,1
ConfirmAppointments_625_0,sch_event_id,1
ConfirmAppointments_646_0,sch_event_id,1
CrmBeginApp_12_0,username,1
EEM_GET_HEALTHPLAN_BY_ID_618_0,beg_effective_dt_tm,1
EEM_GET_HEALTHPLAN_BY_ID_618_0,phone_num,1
GetAppointmentAvailability_423_0,applied_slot_id,1
GetAppointmentAvailability_423_0,begin_dt_tm,1
GetAppointmentAvailability_423_0,end_dt_tm,1
GetAppointmentAvailability_423_0,role_description,2
GetAppointmentAvailability_423_0,role_meaning,2
GetAppointmentAvailability_590_0,applied_slot_id,1
GetAppointmentAvailability_590_0,begin_dt_tm,1
GetAppointmentRelatedEncounterTypes_444_0,encntrtypecd,1
GetAppointmentRelatedEncounterTypes_601_0,encntrtypecd,2
GetAppointmentTypeDetailsByAppointmentTypes_281_0,allowable_action,3
GetAppointmentTypeDetailsByAppointmentTypes_281_0,resource_list_id,1
GetAppointmentTypeDetailsByAppointmentTypes_554_0,resource_list_id,1
GetAppointmentTypesBySynonymMnemonic_270_0,accept_format_id,1
GetAppointmentTypesBySynonymMnemonic_270_0,appt_type_id,1
GetAppointmentTypesBySynonymMnemonic_549_0,appt_type_id,1
GetDocument_23_0,path,1
GetDynamicRoles_417_0,duration_in_minutes,3
GetDynamicRoles_417_0,list_role_id,196
GetDynamicRoles_417_0,mnemonic,71
GetDynamicRoles_417_0,offset_role_id,2
GetDynamicRoles_417_0,offset_type_meaning,1
GetDynamicRoles_417_0,personnel_id,327
GetDynamicRoles_417_0,slot_type_id,71
GetDynamicRoles_588_0,list_role_id,4
GetDynamicRoles_588_0,mnemonic,2
GetDynamicRoles_588_0,slot_type_id,2
GetExternalServicesByIds_215_0,external_service_id,1
GetExternalServicesByIds_215_0,key,1
GetExternalServicesByIds_222_0,external_service_id,1
GetExternalServicesByIds_222_0,field,1
GetExternalServicesByIds_222_0,key,1
